"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 13:12:35 GMT 2024","Wed May 29 13:12:38 GMT 2024","2636","","Home Page Content Test","","Verify Home Page title is present and correct","","Verify Home Page title is present and correct",""
"passed","Wed May 29 13:12:49 GMT 2024","Wed May 29 13:12:51 GMT 2024","1990","","Login","","User cannot log in with invalid credentials","","User cannot log in with invalid credentials",""
"passed","Wed May 29 13:12:43 GMT 2024","Wed May 29 13:12:45 GMT 2024","1807","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:13:00 GMT 2024","Wed May 29 13:13:02 GMT 2024","2265","","Login","","User can log out from the secure page","","User can log out from the secure page",""
"passed","Wed May 29 13:12:51 GMT 2024","Wed May 29 13:12:53 GMT 2024","1979","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:12:39 GMT 2024","Wed May 29 13:12:41 GMT 2024","1594","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:12:56 GMT 2024","Wed May 29 13:12:58 GMT 2024","2052","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:12:38 GMT 2024","Wed May 29 13:12:39 GMT 2024","1569","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:12:45 GMT 2024","Wed May 29 13:12:47 GMT 2024","2340","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:12:41 GMT 2024","Wed May 29 13:12:43 GMT 2024","1680","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:12:58 GMT 2024","Wed May 29 13:13:00 GMT 2024","1983","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:12:47 GMT 2024","Wed May 29 13:12:49 GMT 2024","2045","","Login","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Wed May 29 13:13:02 GMT 2024","Wed May 29 13:13:04 GMT 2024","1680","","Login","","User cannot access the secure page directly without logging in","","User cannot access the secure page directly without logging in",""
"passed","Wed May 29 13:12:53 GMT 2024","Wed May 29 13:12:55 GMT 2024","2005","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
